Ad unit,Ad unit ID,Total impressions
Blue To Go Android (22041436122) » En Vivo (22041334507),22041334507,"3,868"
Blue To Go Android (22041436122) » Homepage (22041472962),22041472962,"6,079"
Blue To Go Android (22041436122) » Video (22041403685),22041403685,"6,800"
Blue To Go Web (22041436128) » En Vivo (22041371450),22041371450,"1,678"
Blue To Go Web (22041436128) » Homepage (22041297106),22041297106,"5,117"
Blue To Go Web (22041436128) » Video (22041439620),22041439620,"6,132"
Blue To Go iOS (22041296209) » En Vivo (22041333244),22041333244,"7,488"
Blue To Go iOS (22041296209) » Homepage (22041470943),22041470943,"12,544"
Blue To Go iOS (22041296209) » Video (22041333874),22041333874,"16,923"
Guía SKY Android (22041404945) » Canales Home (22041475320),22041475320,"4,228"
Guía SKY Android (22041404945) » Estadísticas (22041405917),22041405917,387
Guía SKY iOS (22041336655) » Canales Home (22041476754),22041476754,"3,509"
Guía SKY iOS (22041336655) » Estadisticas (22041476007),22041476007,68
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » CNN Español (22716291963),22716291963,"1,288"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » COMEDY CENTRAL HD (22271034921),22271034921,"4,059"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » CINE CANAL HD (22271035374),22271035374,8
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » CINEMAX HD (22270729672),22270729672,"5,316"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Cartoon Network (21935018581),21935018581,"6,137"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Cartoonito (22740374581),22740374581,350
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » A&E (21935020441),21935020441,724
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » A3 Series (22788721328),22788721328,470
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » AMC HD (22271026359),22271026359,"4,871"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » ANIMAL PLANET HD (22271034918),22271034918,"2,048"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » AXN (21935100336),21935100336,"22,353"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Afizzionados (21935018992),21935018992,"3,418"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » BITME HD (22270729669),22270729669,101
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » GOLDEN EDGE SD (22271035383),22271035383,"7,081"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Golden (22716293970),22716293970,"6,171"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Glitz (22716293151),22716293151,4
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » DISCOVERY ID HD (22271035377),22271035377,"7,531"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » DISCOVERY KIDS HD (22270729675),22270729675,"3,152"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » De Pelicula (21935048540),21935048540,"5,243"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Discovery Channel (21935098680),21935098680,"11,277"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Discovery H&H (21935099502),21935099502,"20,924"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Distrito Comedia (21935047976),21935047976,"3,300"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » E! (21935047529),21935047529,"3,623"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » ESPN (21935016298),21935016298,"100,137"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » ESPN 2 HD (22271035380),22271035380,"7,063"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » ESPN 3 (21935098557),21935098557,"1,877"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » El Gourmet (21935046755),21935046755,"2,092"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » FX (21935045567),21935045567,"5,001"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Fox Sports (21935014954),21935014954,"9,331"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Fox Sports 2 (21935016151),21935016151,"8,994"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Fox Sports 3 (21935045837),21935045837,694
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Hola TV (21935089062),21935089062,"2,468"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » History (21935045102),21935045102,"9,640"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » History 2 (21935045168),21935045168,"1,264"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » LAS ESTRELLAS -2 HD (22271035386),22271035386,"4,545"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » LIFETIME HD (22270729684),22270729684,"2,124"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » MILENIO HD (22271034927),22271034927,"6,251"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » MTV HD (22271035389),22271035389,"4,046"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Mas Chic (22740712313),22740712313,324
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » NAT GEO HD (22270729687),22270729687,"3,583"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » NFL HD (22271035392),22271035392,"2,039"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » NICK HD (22270729690),22270729690,"3,706"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » NICK JR HD (22271034930),22271034930,403
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » NatGeo (21935013610),21935013610,"1,545"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Sony (21935013067),21935013067,"8,758"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Space (21935042966),21935042966,"18,220"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Studio Universal (21935096319),21935096319,"4,444"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Starz (21935046620),21935046620,"7,751"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » PARAMOUNT HD (22271035395),22271035395,"3,930"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » REAL MADRID HD (22270729693),22270729693,12
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Warner (21935093856),21935093856,"19,405"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » TNT (21935094270),21935094270,"22,910"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » TNT Series (21935012563),21935012563,"5,924"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » TCM (22740381154),22740381154,337
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » TLC (22716767000),22716767000,"3,049"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » TLNovelas (21935095158),21935095158,"6,939"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » TUDN HD (22271035398),22271035398,"5,176"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » UNICABLE HD (22270729696),22270729696,"10,157"
TV Channels (21929261442) » Izzi Network (21929232080) » Live (21933255546) » Universal Channel (21935040215),21935040215,"5,983"
